tanggal,harga
2021-02-10,6.5
2021-02-11,6.5
2021-02-12,6.5
2021-02-15,6.5
2021-02-16,6.475
2021-02-17,6.35
2021-02-18,6.25
2021-02-19,6.375
2021-02-22,6.375
2021-02-23,6.325
2021-02-24,6.375
2021-02-25,6.275
2021-02-26,6.15
2021-03-01,6.575
2021-03-02,6.6
2021-03-03,6.6
2021-03-04,6.55
2021-03-05,6.475
2021-03-08,6.425
2021-03-09,6.425
2021-03-10,6.5
2021-03-11,6.5
2021-03-12,6.725
2021-03-15,6.65
2021-03-16,6.55
2021-03-17,6.525
2021-03-18,6.8
2021-03-19,6.775
2021-03-22,6.625
2021-03-23,6.675
2021-03-24,6.425
2021-03-25,6.4
2021-03-26,6.4
2021-03-29,6.4
2021-03-30,6.325
2021-03-31,6.15
2021-04-01,6.2
2021-04-02,6.2
2021-04-05,6.225
2021-04-06,6.275
2021-04-07,6.325
2021-04-08,6.275
2021-04-09,6.475
2021-04-12,6.3
2021-04-13,6.3
2021-04-14,6.425
2021-04-15,6.325
2021-04-16,6.3
2021-04-19,6.225
2021-04-20,6.2
2021-04-21,6.125
2021-04-22,6.125
2021-04-23,6.15
2021-04-26,5.975
2021-04-27,6.05
2021-04-28,6.2
2021-04-29,6.225
2021-04-30,6.175
2021-05-03,6.05
2021-05-04,6.1
2021-05-05,6.05
2021-05-06,6.075
2021-05-07,5.95
2021-05-10,5.975
2021-05-11,5.9
2021-05-12,5.9
2021-05-13,5.9
2021-05-14,5.9
2021-05-17,5.925
2021-05-18,5.9
2021-05-19,5.675
2021-05-20,5.65
2021-05-21,5.825
2021-05-24,5.75
2021-05-25,5.9
2021-05-26,5.9
2021-05-27,5.75
2021-05-28,5.8
2021-05-31,6.0
2021-06-01,6.0
2021-06-02,6.1
2021-06-03,6.25
2021-06-04,6.125
2021-06-07,6.125
2021-06-08,6.0
2021-06-09,6.15
2021-06-10,6.2
2021-06-11,6.275
2021-06-14,6.275
2021-06-15,6.325
2021-06-16,6.275
2021-06-17,6.2
2021-06-18,6.2
2021-06-21,6.025
2021-06-22,6.175
2021-06-23,6.025
2021-06-24,5.975
2021-06-25,5.9
2021-06-28,5.7
2021-06-29,5.775
2021-06-30,5.9
2021-07-01,5.975
2021-07-02,5.95
2021-07-05,5.85
2021-07-06,5.775
2021-07-07,5.75
2021-07-08,5.9
2021-07-09,5.775
2021-07-12,5.8
2021-07-13,5.775
2021-07-14,5.7
2021-07-15,5.875
2021-07-16,5.875
2021-07-19,5.75
2021-07-20,5.75
2021-07-21,5.925
2021-07-22,6.05
2021-07-23,5.975
2021-07-26,5.8
2021-07-27,5.825
2021-07-28,5.9
2021-07-29,5.75
2021-07-30,5.7
2021-08-02,5.675
2021-08-03,5.775
2021-08-04,5.825
2021-08-05,6.05
2021-08-06,5.975
2021-08-09,5.8
2021-08-10,5.8
2021-08-11,5.8
2021-08-12,5.925
2021-08-13,6.0
2021-08-16,5.975
2021-08-17,5.975
2021-08-18,6.05
2021-08-19,5.85
2021-08-20,5.9
2021-08-23,5.975
2021-08-24,5.825
2021-08-25,5.95
2021-08-26,5.825
2021-08-27,5.8
2021-08-30,5.95
2021-08-31,6.1
2021-09-01,6.0
2021-09-02,6.05
2021-09-03,6.125
2021-09-06,6.2
2021-09-07,6.25
2021-09-08,6.25
2021-09-09,6.35
2021-09-10,6.2
2021-09-13,6.15
2021-09-14,6.1
2021-09-15,6.125
2021-09-16,6.15
2021-09-17,6.05
2021-09-20,6.025
2021-09-21,5.975
2021-09-22,6.075
2021-09-23,6.075
2021-09-24,5.975
2021-09-27,5.9
2021-09-28,5.95
2021-09-29,6.0
2021-09-30,6.15
2021-10-01,6.1
2021-10-04,6.475
2021-10-05,6.425
2021-10-06,6.6
2021-10-07,6.7
2021-10-08,6.9
2021-10-11,6.9
2021-10-12,7.0
2021-10-13,7.1
2021-10-14,7.175
2021-10-15,7.15
2021-10-18,7.175
2021-10-19,7.175
2021-10-20,7.175
2021-10-21,7.175
2021-10-22,7.2
2021-10-25,7.125
2021-10-26,7.175
2021-10-27,7.15
2021-10-28,7.025
2021-10-29,7.175
2021-11-01,7.175
2021-11-02,7.025
2021-11-03,7.125
2021-11-04,7.175
2021-11-05,7.1
2021-11-08,7.0
2021-11-09,6.875
2021-11-10,7.15
2021-11-11,7.225
2021-11-12,7.1
2021-11-15,7.05
2021-11-16,7.225
2021-11-17,7.225
2021-11-18,7.175
2021-11-19,7.25
2021-11-22,7.35
2021-11-23,7.15
2021-11-24,7.15
2021-11-25,7.35
2021-11-26,7.1
2021-11-29,7.175
2021-11-30,7.0
2021-12-01,7.075
2021-12-02,7.2
2021-12-03,7.15
2021-12-06,7.175
2021-12-07,7.3
2021-12-08,7.15
2021-12-09,7.35
2021-12-10,7.2
2021-12-13,7.125
2021-12-14,7.175
2021-12-15,7.275
2021-12-16,7.25
2021-12-17,7.15
2021-12-20,7.075
2021-12-21,7.15
2021-12-22,7.05
2021-12-23,7.075
2021-12-24,7.05
2021-12-27,7.0
2021-12-28,7.05
2021-12-29,7.1
2021-12-30,7.025
2021-12-31,7.025
2022-01-03,7.05
2022-01-04,7.175
2022-01-05,7.025
2022-01-06,7.025
2022-01-07,7.05
2022-01-10,7.05
2022-01-11,7.05
2022-01-12,7.15
2022-01-13,7.125
2022-01-14,7.175
2022-01-17,7.2
2022-01-18,7.25
2022-01-19,7.025
2022-01-20,7.175
2022-01-21,7.3
2022-01-24,7.275
2022-01-25,7.225
2022-01-26,7.475
2022-01-27,7.55
2022-01-28,7.65
2022-01-31,7.475
2022-02-01,7.475
2022-02-02,7.475
2022-02-03,7.475
2022-02-04,7.475
2022-02-07,7.5
2022-02-08,7.625
2022-02-09,7.675
2022-02-10,7.725
2022-02-11,7.725
2022-02-14,7.8
2022-02-15,7.9
2022-02-16,7.85
2022-02-17,7.85
2022-02-18,7.85
2022-02-21,7.85
2022-02-22,7.875
2022-02-23,7.875
2022-02-24,7.7
2022-02-25,7.7
2022-02-28,7.7
2022-03-01,7.65
2022-03-02,7.625
2022-03-03,7.625
2022-03-04,7.65
2022-03-07,7.55
2022-03-08,7.55
2022-03-09,7.625
2022-03-10,7.675
2022-03-11,7.65
2022-03-14,7.75
2022-03-15,7.775
2022-03-16,7.95
2022-03-17,7.95
2022-03-18,7.925
2022-03-21,7.65
2022-03-22,7.675
2022-03-23,7.775
2022-03-24,7.925
2022-03-25,7.85
2022-03-28,7.875
2022-03-29,7.925
2022-03-30,7.875
2022-03-31,7.9
2022-04-01,7.875
2022-04-04,7.95
2022-04-05,7.825
2022-04-06,7.675
2022-04-07,7.7
2022-04-08,7.7
2022-04-11,7.675
2022-04-12,7.7
2022-04-13,7.725
2022-04-14,7.675
2022-04-15,7.675
2022-04-18,7.625
2022-04-19,7.575
2022-04-20,7.85
2022-04-21,7.85
2022-04-22,8.275
2022-04-25,8.225
2022-04-26,8.35
2022-04-27,8.225
2022-04-28,8.225
2022-04-29,8.3
2022-05-02,8.3
2022-05-03,8.3
2022-05-04,8.3
2022-05-05,8.3
2022-05-06,8.3
2022-05-09,8.325
2022-05-10,8.1
2022-05-11,8.0
2022-05-12,7.875
2022-05-13,7.8
2022-05-16,7.8
2022-05-17,7.85
2022-05-18,7.9
2022-05-19,7.9
2022-05-20,8.0
2022-05-23,7.875
2022-05-24,7.925
2022-05-25,7.85
2022-05-26,7.85
2022-05-27,8.1
2022-05-30,8.2
2022-05-31,8.5
2022-06-01,8.5
2022-06-02,8.2
2022-06-03,8.2
2022-06-06,8.15
2022-06-07,8.3
2022-06-08,8.4
2022-06-09,8.425
2022-06-10,8.175
2022-06-13,8.1
2022-06-14,8.2
2022-06-15,8.3
2022-06-16,8.375
2022-06-17,8.075
2022-06-20,8.25
2022-06-21,8.25
2022-06-22,8.15
2022-06-23,8.15
2022-06-24,8.3
2022-06-27,8.225
2022-06-28,8.125
2022-06-29,7.95
2022-06-30,7.925
2022-07-01,7.6
2022-07-04,7.4
2022-07-05,7.65
2022-07-06,7.525
2022-07-07,7.425
2022-07-08,7.475
2022-07-11,7.475
2022-07-12,7.425
2022-07-13,7.275
2022-07-14,7.275
2022-07-15,7.175
2022-07-18,7.35
2022-07-19,7.425
2022-07-20,7.9
2022-07-21,7.9
2022-07-22,7.85
2022-07-25,7.775
2022-07-26,8.0
2022-07-27,8.1
2022-07-28,8.05
2022-07-29,8.275
2022-08-01,7.975
2022-08-02,8.175
2022-08-03,8.25
2022-08-04,8.25
2022-08-05,8.25
2022-08-08,8.35
2022-08-09,8.475
2022-08-10,8.6
2022-08-11,8.525
2022-08-12,8.475
2022-08-15,8.45
2022-08-16,8.525
2022-08-17,8.525
2022-08-18,8.6
2022-08-19,8.5
2022-08-22,8.525
2022-08-23,8.625
2022-08-24,8.625
2022-08-25,8.575
2022-08-26,8.5
2022-08-29,8.55
2022-08-30,8.65
2022-08-31,8.85
2022-09-01,8.925
2022-09-02,8.85
2022-09-05,8.95
2022-09-06,8.825
2022-09-07,8.875
2022-09-08,8.95
2022-09-09,9.075
2022-09-12,9.175
2022-09-13,9.45
2022-09-14,9.3
2022-09-15,9.35
2022-09-16,9.1
2022-09-19,9.225
2022-09-20,9.2
2022-09-21,9.275
2022-09-22,9.2
2022-09-23,9.2
2022-09-26,9.25
2022-09-27,9.35
2022-09-28,9.3
2022-09-29,9.25
2022-09-30,9.425
2022-10-03,9.275
2022-10-04,9.225
2022-10-05,9.275
2022-10-06,9.325
2022-10-07,9.425
2022-10-10,9.3
2022-10-11,9.3
2022-10-12,9.425
2022-10-13,9.475
2022-10-14,9.4
2022-10-17,9.45
2022-10-18,9.5
2022-10-19,9.475
2022-10-20,9.9
2022-10-21,10.35
2022-10-24,10.25
2022-10-25,10.225
2022-10-26,10.2
2022-10-27,10.2
2022-10-28,10.2
2022-10-31,10.55
2022-11-01,10.4
2022-11-02,10.075
2022-11-03,10.175
2022-11-04,10.15
2022-11-07,10.25
2022-11-08,10.15
2022-11-09,10.15
2022-11-10,10.1
2022-11-11,10.425
2022-11-14,10.25
2022-11-15,10.25
2022-11-16,10.0
2022-11-17,9.9
2022-11-18,10.175
2022-11-21,10.1
2022-11-22,10.125
2022-11-23,10.2
2022-11-24,10.225
2022-11-25,10.175
2022-11-28,10.125
2022-11-29,10.325
2022-11-30,10.525
2022-12-01,10.4
2022-12-02,10.525
2022-12-05,10.875
2022-12-06,10.9
2022-12-07,10.375
2022-12-08,10.05
2022-12-09,9.925
2022-12-12,9.95
2022-12-13,9.9
2022-12-14,9.95
2022-12-15,9.9
2022-12-16,10.1
2022-12-19,10.0
2022-12-20,10.05
2022-12-21,10.0
2022-12-22,9.95
2022-12-23,9.925
2022-12-26,10.05
2022-12-27,9.95
2022-12-28,9.975
2022-12-29,9.975
2022-12-30,9.925
2023-01-02,9.875
2023-01-03,9.95
2023-01-04,10.025
2023-01-05,9.825
2023-01-06,9.8
2023-01-09,9.725
2023-01-10,9.275
2023-01-11,8.95
2023-01-12,9.2
2023-01-13,9.175
2023-01-16,9.3
2023-01-17,9.75
2023-01-18,9.55
2023-01-19,9.75
2023-01-20,9.975
2023-01-23,9.975
2023-01-24,9.9
2023-01-25,9.7
2023-01-26,9.825
2023-01-27,10.025
2023-01-30,9.95
2023-01-31,9.95
2023-02-01,9.7
2023-02-02,9.725
2023-02-03,9.925
2023-02-06,9.875
2023-02-07,10.175
2023-02-08,10.2
2023-02-09,10.25
2023-02-10,10.3
2023-02-13,10.35
2023-02-14,10.375
2023-02-15,10.225
2023-02-16,10.175
2023-02-17,10.3
2023-02-20,10.275
2023-02-21,10.2
2023-02-22,10.0
2023-02-23,10.075
2023-02-24,10.125
2023-02-27,10.15
2023-02-28,10.0
2023-03-01,10.1
2023-03-02,10.225
2023-03-03,10.05
2023-03-06,10.125
2023-03-07,10.175
2023-03-08,10.275
2023-03-09,10.45
2023-03-10,10.375
2023-03-13,10.35
2023-03-14,9.925
2023-03-15,10.05
2023-03-16,9.85
2023-03-17,10.1
2023-03-20,10.0
2023-03-21,10.5
2023-03-22,10.5
2023-03-23,10.5
2023-03-24,10.9
2023-03-27,10.2
2023-03-28,10.125
2023-03-29,10.35
2023-03-30,10.225
2023-03-31,10.325
2023-04-03,10.525
2023-04-04,5.2
2023-04-05,5.225
2023-04-06,5.175
2023-04-07,5.175
2023-04-10,5.1
2023-04-11,5.1
2023-04-12,5.15
2023-04-13,5.125
2023-04-14,5.225
2023-04-17,5.125
2023-04-18,5.175
2023-04-19,5.175
2023-04-20,5.175
2023-04-21,5.175
2023-04-24,5.175
2023-04-25,5.175
2023-04-26,5.2
2023-04-27,5.2
2023-04-28,5.175
2023-05-01,5.175
2023-05-02,5.25
2023-05-03,5.225
2023-05-04,5.175
2023-05-05,5.175
2023-05-08,5.125
2023-05-09,5.05
2023-05-10,5.075
2023-05-11,5.1
2023-05-12,5.0
2023-05-15,5.05
2023-05-16,4.99
2023-05-17,5.0
2023-05-18,5.0
2023-05-19,5.075
2023-05-22,5.225
2023-05-23,5.125
2023-05-24,5.075
2023-05-25,5.175
2023-05-26,5.125
2023-05-29,5.15
2023-05-30,5.15
2023-05-31,5.05
2023-06-01,5.05
2023-06-02,5.05
2023-06-05,5.075
2023-06-06,5.05
2023-06-07,5.025
2023-06-08,5.025
2023-06-09,5.125
2023-06-12,5.1
2023-06-13,5.1
2023-06-14,5.05
2023-06-15,5.125
2023-06-16,5.15
2023-06-19,5.125
2023-06-20,5.1
2023-06-21,5.1
2023-06-22,5.075
2023-06-23,5.075
2023-06-26,5.125
2023-06-27,5.2
2023-06-28,5.2
2023-06-29,5.2
2023-06-30,5.2
2023-07-03,5.35
2023-07-04,5.25
2023-07-05,5.275
2023-07-06,5.3
2023-07-07,5.15
2023-07-10,5.175
2023-07-11,5.275
2023-07-12,5.3
2023-07-13,5.35
2023-07-14,5.4
2023-07-17,5.375
2023-07-18,5.35
2023-07-19,5.35
2023-07-20,5.525
2023-07-21,5.55
2023-07-24,5.5
2023-07-25,5.55
2023-07-26,5.575
2023-07-27,5.625
2023-07-28,5.7
2023-07-31,5.725
2023-08-01,5.65
2023-08-02,5.7
2023-08-03,5.8
2023-08-04,5.775
2023-08-07,5.875
2023-08-08,5.9
2023-08-09,5.9
2023-08-10,5.975
2023-08-11,5.925
2023-08-14,5.95
2023-08-15,5.8
2023-08-16,5.8
2023-08-17,5.8
2023-08-18,5.775
2023-08-21,5.825
2023-08-22,5.95
2023-08-23,5.85
2023-08-24,5.95
2023-08-25,5.9
2023-08-28,6.0
2023-08-29,5.95
2023-08-30,5.975
2023-08-31,6.025
2023-09-01,6.075
2023-09-04,6.1
2023-09-05,6.1
2023-09-06,6.05
2023-09-07,5.875
2023-09-08,5.9
2023-09-11,5.925
2023-09-12,5.875
2023-09-13,5.85
2023-09-14,5.825
2023-09-15,5.925
2023-09-18,5.9
2023-09-19,6.0
2023-09-20,6.075
2023-09-21,6.0
2023-09-22,6.0
2023-09-25,6.0
2023-09-26,5.925
2023-09-27,5.925
2023-09-28,5.925
2023-09-29,6.025
2023-10-02,6.05
2023-10-03,6.075
2023-10-04,6.125
2023-10-05,6.125
2023-10-06,6.025
2023-10-09,5.9
2023-10-10,6.0
2023-10-11,6.05
2023-10-12,6.075
2023-10-13,6.075
2023-10-16,6.025
2023-10-17,6.0
2023-10-18,5.85
2023-10-19,5.725
2023-10-20,5.75
2023-10-23,5.675
2023-10-24,5.75
2023-10-25,5.85
2023-10-26,5.7
2023-10-27,5.7
2023-10-30,5.725
2023-10-31,5.675
2023-11-01,5.65
2023-11-02,5.9
2023-11-03,5.825
2023-11-06,5.925
2023-11-07,5.875
2023-11-08,5.85
2023-11-09,5.875
2023-11-10,5.775
2023-11-13,5.825
2023-11-14,5.825
2023-11-15,5.925
2023-11-16,5.925
2023-11-17,5.9
2023-11-20,5.875
2023-11-21,5.875
2023-11-22,5.875
2023-11-23,5.9
2023-11-24,5.875
2023-11-27,5.9
2023-11-28,5.9
2023-11-29,5.85
2023-11-30,5.85
2023-12-01,5.9
2023-12-04,6.0
2023-12-05,5.975
2023-12-06,5.8
2023-12-07,5.75
2023-12-08,5.7
2023-12-11,5.775
2023-12-12,5.8
2023-12-13,5.725
2023-12-14,5.95
2023-12-15,5.9
2023-12-18,5.925
2023-12-19,5.975
2023-12-20,5.925
2023-12-21,5.975
2023-12-22,5.975
2023-12-25,5.975
2023-12-26,5.975
2023-12-27,6.0
2023-12-28,6.125
2023-12-29,6.05
2024-01-01,6.05
2024-01-02,6.125
2024-01-03,6.1
2024-01-04,6.35
2024-01-05,6.425
2024-01-08,6.4
2024-01-09,6.375
2024-01-10,6.425
2024-01-11,6.45
2024-01-12,6.575
2024-01-15,6.5
2024-01-16,6.525
2024-01-17,6.525
2024-01-18,6.525
2024-01-19,6.525
2024-01-22,6.5
2024-01-23,6.5
2024-01-24,6.4
2024-01-25,6.275
2024-01-26,6.3
2024-01-29,6.475
2024-01-30,6.65
2024-01-31,6.65
2024-02-01,6.55
2024-02-02,6.675
2024-02-05,6.825
2024-02-06,6.85
2024-02-07,6.95
2024-02-08,6.95
2024-02-09,6.95
2024-02-12,7.1
2024-02-13,7.025
2024-02-14,7.025
2024-02-15,7.2
2024-02-16,7.2
2024-02-19,7.15
2024-02-20,7.15
2024-02-21,7.25
2024-02-22,7.1
2024-02-23,7.05
