Date,StockCode,Close
2024-03-21,CFIN,505.0
2024-03-21,CGAS,158.0
2024-03-21,CHEM,102.0
2024-03-21,CHIP,2320.0
2024-03-21,CINT,146.0
2024-03-21,CITA,2270.0
2024-03-21,CITY,54.0
2024-03-21,CLAY,360.0
2024-03-21,CLEO,770.0
2024-03-21,CLPI,980.0
2024-03-21,CMNP,1600.0
2024-03-21,CMNT,1075.0
2024-03-21,CMPP,118.0
2024-03-21,CMRY,4560.0
2024-03-21,CNKO,50.0
2024-03-21,CNMA,222.0
2024-03-21,CNTB,250.0
2024-03-21,CNTX,137.0
2024-03-21,COAL,50.0
2024-03-21,COCO,190.0
2024-03-21,COWL,50.0
2024-03-21,CPIN,5275.0
2024-03-21,CPRI,50.0
2024-03-21,CPRO,54.0
2024-03-21,CRAB,238.0
2024-03-21,CRSN,103.0
2024-03-21,CSAP,580.0
2024-03-21,CSIS,50.0
2024-03-21,CSMI,2850.0
2024-03-21,CSRA,456.0
2024-03-21,CTBN,1120.0
2024-03-21,CTRA,1300.0
2024-03-21,CTTH,16.0
2024-03-21,CUAN,4930.0
2024-03-21,CYBR,256.0
2024-03-21,DADA,6.0
2024-03-21,DART,131.0
2024-03-21,DAYA,368.0
2024-03-21,DCII,35825.0
2024-03-21,DEAL,6.0
2024-03-21,DEFI,1455.0
2024-03-21,DEPO,376.0
2024-03-21,DEWA,63.0
2024-03-21,DEWI,68.0
2024-03-21,DFAM,51.0
2024-03-21,DGIK,94.0
2024-03-21,DGNS,346.0
2024-03-21,DIGI,14.0
2024-03-21,DILD,195.0
2024-03-21,DIVA,142.0
2024-03-21,DKFT,109.0
2024-03-21,DLTA,3360.0
2024-03-21,DMAS,166.0
2024-03-21,DMMX,146.0
2024-03-21,DMND,810.0
2024-03-21,DNAR,119.0
2024-03-21,DNET,4600.0
2024-03-21,DOID,414.0
2024-03-21,DOOH,65.0
2024-03-21,DPNS,420.0
2024-03-21,DPUM,23.0
2024-03-21,DRMA,1060.0
2024-03-21,DSFI,57.0
2024-03-21,DSNG,615.0
2024-03-21,DSSA,125000.0
2024-03-21,DUCK,176.0
2024-03-21,DUTI,4500.0
2024-03-21,DVLA,1390.0
2024-03-21,DWGL,107.0
2024-03-21,DYAN,81.0
2024-03-21,EAST,137.0
2024-03-21,ECII,270.0
2024-03-21,EDGE,4210.0
2024-03-21,EKAD,248.0
2024-03-21,ELIT,111.0
2024-03-21,ELPI,300.0
2024-03-21,ELSA,390.0
2024-03-21,ELTY,50.0
2024-03-21,EMDE,125.0
2024-03-21,EMTK,432.0
2024-03-21,ENAK,1120.0
2024-03-21,ENRG,224.0
2024-03-21,ENVY,50.0
2024-03-21,ENZO,63.0
2024-03-21,EPAC,8.0
2024-03-21,EPMT,2440.0
2024-03-21,ERAA,424.0
2024-03-21,ERAL,308.0
2024-03-21,ERTX,256.0
2024-03-21,ESIP,50.0
2024-03-21,ESSA,635.0
2024-03-21,ESTA,76.0
2024-03-21,ESTI,50.0
2024-03-21,ETWA,70.0
2024-03-21,EURO,137.0
2024-03-21,EXCL,2400.0
2024-03-21,FAPA,5300.0
2024-03-21,FAST,800.0
2024-03-21,FASW,5500.0
2024-03-21,FILM,4130.0
2024-03-21,FIMP,53.0
2024-03-21,FIRE,96.0
2024-03-21,FISH,5550.0
2024-03-21,FITT,590.0
2024-03-21,FLMC,24.0
2024-03-21,FMII,202.0
2024-03-21,FOLK,78.0
2024-03-21,FOOD,111.0
2024-03-21,FORU,810.0
2024-03-21,FORZ,50.0
2024-03-21,FPNI,192.0
2024-03-21,FREN,50.0
2024-03-21,FUJI,230.0
2024-03-21,FUTR,50.0
2024-03-21,FWCT,68.0
2024-03-21,GAMA,18.0
2024-03-21,GDST,124.0
2024-03-21,GDYR,1310.0
2024-03-21,GEMA,254.0
2024-03-21,GEMS,5850.0
2024-03-21,GGRM,20000.0
2024-03-21,GGRP,418.0
2024-03-21,GHON,1875.0
2024-03-21,GIAA,72.0
2024-03-21,GJTL,1245.0
2024-03-21,GLOB,97.0
2024-03-21,GLVA,390.0
2024-03-21,GMFI,77.0
2024-03-21,GMTD,4200.0
2024-03-21,GOLD,312.0
2024-03-21,GOLL,50.0
2024-03-21,GOOD,428.0
2024-03-21,GOTO,67.0
2024-03-21,GPRA,92.0
2024-03-21,GPSO,173.0
2024-03-21,GRIA,123.0
2024-03-21,GRPH,50.0
2024-03-21,GRPM,48.0
2024-03-21,GSMF,60.0
2024-03-21,GTBO,396.0
2024-03-21,GTRA,146.0
2024-03-21,GTSI,50.0
2024-03-21,GULA,472.0
2024-03-21,GWSA,144.0
2024-03-21,GZCO,101.0
2024-03-21,HADE,3.0
2024-03-21,HAIS,248.0
2024-03-21,HAJJ,133.0
2024-03-21,HALO,50.0
2024-03-21,HATM,228.0
2024-03-21,HBAT,35.0
2024-03-21,HDFA,95.0
2024-03-21,HDIT,50.0
2024-03-21,HDTX,120.0
2024-03-21,HEAL,1245.0
2024-03-21,HELI,500.0
2024-03-21,HERO,745.0
2024-03-21,HEXA,6350.0
2024-03-21,HILL,2090.0
2024-03-21,HITS,364.0
2024-03-21,HKMU,50.0
2024-03-21,HMSP,850.0
2024-03-21,HOKI,162.0
2024-03-21,HOME,50.0
2024-03-21,HOMI,163.0
2024-03-21,HOPE,52.0
2024-03-21,HOTL,50.0
2024-03-21,HRME,50.0
2024-03-21,HRTA,412.0
2024-03-21,HRUM,1390.0
2024-03-21,HUMI,101.0
2024-03-21,HYGN,143.0
2024-03-21,IATA,50.0
2024-03-21,IBFN,19.0
2024-03-21,IBOS,850.0
2024-03-21,IBST,4000.0
2024-03-21,ICBP,10950.0
2024-03-21,ICON,50.0
2024-03-21,IDEA,69.0
2024-03-21,IDPR,140.0
2024-03-21,IFII,159.0
2024-03-21,IFSH,845.0
2024-03-21,IGAR,452.0
2024-03-21,IIKP,50.0
2024-03-21,IKAI,50.0
2024-03-21,IKAN,50.0
2024-03-21,IKBI,492.0
2024-03-21,IKPM,274.0
2024-03-21,IMAS,1450.0
2024-03-21,IMJS,296.0
2024-03-21,IMPC,390.0
2024-03-21,INAF,398.0
2024-03-21,INAI,194.0
2024-03-21,INCF,50.0
2024-03-21,INCI,590.0
2024-03-21,INCO,4260.0
2024-03-21,INDF,6450.0
2024-03-21,INDO,108.0
2024-03-21,INDR,3610.0
2024-03-21,INDS,2370.0
2024-03-21,INDX,105.0
2024-03-21,INDY,1480.0
2024-03-21,INET,54.0
2024-03-21,INKP,9150.0
2024-03-21,INOV,132.0
2024-03-21,INPC,67.0
2024-03-21,INPP,995.0
2024-03-21,INPS,141.0
2024-03-21,INRU,434.0
2024-03-21,INTA,50.0
2024-03-21,INTD,146.0
2024-03-21,INTP,8575.0
2024-03-21,IOTF,115.0
2024-03-21,IPAC,92.0
2024-03-21,IPCC,705.0
2024-03-21,IPCM,276.0
2024-03-21,IPOL,130.0
2024-03-21,IPPE,50.0
2024-03-21,IPTV,50.0
2024-03-21,IRRA,492.0
2024-03-21,IRSX,50.0
2024-03-21,ISAP,9.0
2024-03-21,ISAT,11550.0
2024-03-21,ISSP,316.0
2024-03-21,ITIC,278.0
2024-03-21,ITMA,915.0
2024-03-21,ITMG,27750.0
2024-03-21,JARR,344.0
2024-03-21,JAST,50.0
2024-03-21,JATI,50.0
2024-03-21,JAWA,107.0
2024-03-21,JAYA,116.0
2024-03-21,JECC,2600.0
2024-03-21,JGLE,50.0
2024-03-21,JIHD,380.0
2024-03-21,JKON,104.0
2024-03-21,JKSW,60.0
2024-03-21,JMAS,57.0
2024-03-21,JPFA,1230.0
2024-03-21,JRPT,670.0
2024-03-21,JSKY,52.0
2024-03-21,JSMR,5500.0
2024-03-21,JSPT,1345.0
2024-03-21,JTPE,312.0
2024-03-21,KAEF,775.0
2024-03-21,KARW,334.0
2024-03-21,KAYU,50.0
2024-03-21,KBAG,50.0
2024-03-21,KBLI,308.0
2024-03-21,KBLM,254.0
2024-03-21,KBLV,57.0
2024-03-21,KBRI,50.0
2024-03-21,KDSI,1670.0
2024-03-21,KDTN,102.0
2024-03-21,KEEN,820.0
2024-03-21,KEJU,1155.0
2024-03-21,KETR,236.0
2024-03-21,KIAS,15.0
2024-03-21,KICI,150.0
2024-03-21,KIJA,120.0
2024-03-21,KING,136.0
2024-03-21,KINO,1400.0
2024-03-21,KIOS,50.0
2024-03-21,KJEN,81.0
2024-03-21,KKES,50.0
2024-03-21,KKGI,362.0
2024-03-21,KLAS,76.0
