tanggal,harga
2021-03-05,6.475
2021-03-08,6.425
2021-03-09,6.425
2021-03-10,6.500
2021-03-12,6.725
2021-03-15,6.650
2021-03-16,6.550
2021-03-17,6.525
2021-03-18,6.800
2021-03-19,6.775
2021-03-22,6.625
2021-03-23,6.675
2021-03-24,6.425
2021-03-25,6.400
2021-03-26,unk
2021-03-29,unk
2021-03-30,6.325
2021-03-31,6.150
2021-04-01,6.200
2021-04-05,6.225
2021-04-06,6.275
2021-04-07,6.325
2021-04-08,6.275
2021-04-09,6.475
2021-04-12,6.300
2021-04-13,6.300
2021-04-14,6.425
2021-04-15,6.325
2021-04-16,6.300
2021-04-19,6.225
2021-04-20,6.200
2021-04-21,6.125
2021-04-22,6.125
2021-04-23,6.150
2021-04-26,5.975
2021-04-27,6.050
2021-04-28,6.200
2021-04-29,6.225
2021-04-30,6.175
2021-05-03,6.050
2021-05-04,6.100
2021-05-05,6.050
2021-05-06,6.075
2021-05-07,5.950
2021-05-10,5.975
2021-05-11,5.900
2021-05-12,unk
2021-05-17,5.925
2021-05-18,5.900
2021-05-19,5.675
2021-05-20,5.650
2021-05-21,5.825
2021-05-24,5.750
2021-05-25,5.900
2021-05-27,5.750
2021-05-28,5.800
2021-05-31,6.000
2021-06-02,6.100
2021-06-03,6.250
2021-06-04,6.125
2021-06-07,6.125
2021-06-08,6.000
2021-06-09,6.150
2021-06-10,6.200
2021-06-11,6.275
2021-06-14,6.275
2021-06-15,6.325
2021-06-16,6.275
2021-06-17,6.200
2021-06-18,6.200
2021-06-21,6.025
2021-06-22,6.175
2021-06-23,6.025
2021-06-24,5.975
2021-06-25,5.900
2021-06-28,5.700
2021-06-29,5.775
2021-06-30,5.900
2021-07-01,5.975
2021-07-02,5.950
2021-07-05,5.850
2021-07-06,5.775
2021-07-07,5.750
2021-07-08,5.900
2021-07-09,5.775
2021-07-12,5.800
2021-07-13,5.775
2021-07-14,5.700
2021-07-15,5.875
2021-07-16,5.875
2021-07-19,5.750
2021-07-21,5.925
2021-07-22,6.050
2021-07-23,5.975
2021-07-26,5.800
2021-07-27,5.825
2021-07-28,5.900
2021-07-29,5.750
2021-07-30,5.700
2021-08-02,5.675
2021-08-03,5.775
2021-08-04,5.825
2021-08-05,6.050
2021-08-06,5.975
2021-08-09,5.800
2021-08-10,5.800
2021-08-12,5.925
2021-08-13,6.000
2021-08-16,5.975
2021-08-18,6.050
2021-08-19,5.850
2021-08-20,5.900
2021-08-23,5.975
2021-08-24,5.825
2021-08-25,5.950
2021-08-26,5.825
2021-08-27,5.800
2021-08-30,5.950
2021-08-31,6.100
2021-09-01,6.000
2021-09-02,6.050
2021-09-03,6.125
2021-09-06,6.200
2021-09-07,6.250
2021-09-08,6.250
2021-09-09,6.350
2021-09-10,6.200
2021-09-13,6.150
2021-09-14,6.100
2021-09-15,6.125
2021-09-16,6.150
2021-09-17,6.050
2021-09-20,6.025
2021-09-21,5.975
2021-09-22,6.075
2021-09-23,6.075
2021-09-24,5.975
2021-09-27,5.900
2021-09-28,5.950
2021-09-29,6.000
2021-09-30,6.150
2021-10-01,6.100
2021-10-04,6.475
2021-10-05,6.425
2021-10-06,6.600
2021-10-07,6.700
2021-10-08,6.900
2021-10-11,6.900
2021-10-12,7.000
2021-10-13,7.100
2021-10-14,7.175
2021-10-15,7.150
2021-10-18,7.175
2021-10-20,unk
2021-10-21,7.175
2021-10-22,7.200
2021-10-25,7.125
2021-10-26,7.175
2021-10-27,7.150
2021-10-28,7.025
2021-10-29,7.175
2021-11-01,7.175
2021-11-02,7.025
2021-11-03,7.125
2021-11-04,7.175
2021-11-05,7.100
2021-11-08,7.000
2021-11-09,6.875
2021-11-10,7.150
2021-11-11,7.225
2021-11-12,7.100
2021-11-15,7.050
2021-11-16,7.225
2021-11-17,7.225
2021-11-18,7.175
2021-11-19,7.250
2021-11-22,7.350
2021-11-23,7.150
2021-11-24,7.150
2021-11-25,7.350
2021-11-26,7.100
2021-11-29,7.175
2021-11-30,7.000
2021-12-01,7.075
2021-12-02,7.200
2021-12-03,7.150
2021-12-06,7.175
2021-12-07,7.300
2021-12-08,7.150
2021-12-09,7.350
2021-12-10,7.200
2021-12-13,7.125
2021-12-14,7.175
2021-12-15,7.275
2021-12-16,7.250
2021-12-17,7.150
2021-12-20,7.075
2021-12-21,7.150
2021-12-22,7.050
2021-12-23,7.075
2021-12-24,7.050
2021-12-27,7.000
2021-12-28,7.050
2021-12-29,7.100
2021-12-30,7.025
2021-12-31,unk
2022-01-03,7.050
2022-01-04,7.175
2022-01-05,7.025
2022-01-06,7.025
2022-01-07,7.050
2022-01-10,7.050
2022-01-11,7.050
2022-01-12,7.150
2022-01-13,7.125
2022-01-14,7.175
2022-01-17,7.200
2022-01-18,7.250
2022-01-19,7.025
2022-01-20,7.175
2022-01-21,7.300
2022-01-24,7.275
2022-01-25,7.225
2022-01-26,7.475
2022-01-27,7.550
2022-01-28,7.650
2022-01-31,7.475
2022-02-02,7.475
2022-02-03,7.475
2022-02-04,7.475
2022-02-07,7.500
2022-02-08,7.625
2022-02-09,7.675
2022-02-10,7.725
2022-02-11,7.725
2022-02-14,7.800
2022-02-15,7.900
2022-02-16,7.850
2022-02-17,7.850
2022-02-18,7.850
2022-02-21,7.850
2022-02-22,7.875
2022-02-23,7.875
2022-02-24,7.700
2022-02-25,7.700
2022-03-01,7.650
2022-03-02,7.625
2022-03-04,7.650
2022-03-07,7.550
2022-03-08,7.550
2022-03-09,7.625
2022-03-10,7.675
2022-03-11,7.650
2022-03-14,7.750
2022-03-15,7.775
2022-03-16,7.950
2022-03-17,unk
2022-03-18,7.925
2022-03-21,7.650
2022-03-22,7.675
2022-03-23,7.775
2022-03-24,7.925
2022-03-25,7.850
2022-03-28,7.875
2022-03-29,7.925
2022-03-30,7.875
2022-03-31,7.900
2022-04-01,7.875
2022-04-04,7.950
2022-04-05,7.825
2022-04-06,7.675
2022-04-07,7.700
2022-04-08,7.700
2022-04-11,7.675
2022-04-12,7.700
2022-04-13,7.725
2022-04-14,7.675
2022-04-18,7.625
2022-04-19,7.575
2022-04-20,7.850
2022-04-21,unk
2022-04-22,8.275
2022-04-25,8.225
2022-04-26,8.350
2022-04-27,8.225
2022-04-28,unk
2022-04-29,8.300
2022-05-04,unk
2022-05-05,unk
2022-05-06,unk
2022-05-09,8.325
2022-05-10,8.100
2022-05-11,8.000
2022-05-12,7.875
2022-05-13,7.800
2022-05-17,7.850
2022-05-18,7.900
2022-05-19,7.900
2022-05-20,8.000
2022-05-23,7.875
2022-05-24,7.925
2022-05-25,7.850
2022-05-27,8.100
2022-05-30,8.200
2022-05-31,8.500
2022-06-02,8.200
2022-06-03,8.200
2022-06-06,8.150
2022-06-07,8.300
2022-06-08,8.400
2022-06-09,8.425
2022-06-10,8.175
2022-06-13,8.100
2022-06-14,8.200
2022-06-15,8.300
2022-06-16,8.375
2022-06-17,8.075
2022-06-20,8.250
2022-06-21,8.250
2022-06-22,8.150
2022-06-23,8.150
2022-06-24,8.300
2022-06-27,8.225
2022-06-28,8.125
2022-06-29,7.950
2022-06-30,7.925
2022-07-01,7.600
2022-07-04,7.400
2022-07-05,7.650
2022-07-06,7.525
2022-07-07,7.425
2022-07-08,7.475
2022-07-11,7.475
2022-07-12,7.425
2022-07-13,7.275
2022-07-14,7.275
2022-07-15,7.175
2022-07-18,7.350
2022-07-19,7.425
2022-07-20,7.900
2022-07-21,7.900
2022-07-22,7.850
2022-07-25,7.775
2022-07-26,8.000
2022-07-27,8.100
2022-07-28,8.050
2022-07-29,8.275
2022-08-01,7.975
2022-08-02,8.175
2022-08-03,8.250
2022-08-04,8.250
2022-08-05,8.250
2022-08-08,8.350
2022-08-09,8.475
2022-08-10,8.600
2022-08-11,8.525
2022-08-12,8.475
2022-08-15,8.450
2022-08-16,8.525
2022-08-18,8.600
2022-08-19,8.500
2022-08-22,8.525
2022-08-23,8.625
2022-08-24,8.625
2022-08-25,8.575
2022-08-26,8.500
2022-08-29,8.550
2022-08-30,8.650
2022-08-31,8.850
2022-09-01,8.925
2022-09-02,8.850
2022-09-05,8.950
2022-09-06,8.825
2022-09-07,8.875
2022-09-08,8.950
2022-09-09,9.075
2022-09-12,9.175
2022-09-13,9.450
2022-09-14,9.300
2022-09-15,9.350
2022-09-16,9.100
2022-09-19,9.225
2022-09-20,9.200
2022-09-21,9.275
2022-09-22,9.200
2022-09-23,9.200
2022-09-26,9.250
2022-09-27,9.350
2022-09-28,9.300
2022-09-29,9.250
2022-09-30,9.425
2022-10-03,9.275
